Location,TestME,ID,Url,CacheUrl,IP,ASNumber,PingAVG,TimeToGetFirstByte,RedirectUrl,StatusCode
tokyo,m,2020-10-24 08:09:53.695477,https://www.youtube.com/watch?v=7CZq5SkIiu0,https://r2---sn-ogul7n7k.googlevideo.com,173.194.49.71,15169,,0.04414010047912598,,200
tokyo,m,2020-10-24 08:10:10.820605,https://www.youtube.com/watch?v=_luhn7TLfWU,https://r2---sn-ogul7n7s.googlevideo.com,74.125.96.135,15169,,0.051023006439208984,,200
tokyo,m,2020-10-24 08:10:28.783825,https://www.youtube.com/watch?v=c8rNJhJVBjw,https://r3---sn-oguelnsl.googlevideo.com,173.194.51.8,15169,,0.2037491798400879,,200
tokyo,m,2020-10-24 08:10:45.994889,https://www.youtube.com/watch?v=OaPt-19C2No,https://r6---sn-oguesnzs.googlevideo.com,74.125.106.204,15169,,0.06184196472167969,,200
tokyo,m,2020-10-24 08:11:07.203975,https://www.youtube.com/watch?v=wtD4kt21ui4,https://r5---sn-ogul7nel.googlevideo.com,74.125.102.138,15169,,1.1138980388641357,,200
tokyo,m,2020-10-24 08:11:29.182255,https://www.youtube.com/watch?v=hoXj-j0VSTA,https://r4---sn-ogul7n7d.googlevideo.com,74.125.171.137,15169,,0.042510032653808594,,200
tokyo,m,2020-10-24 08:11:48.035961,https://www.youtube.com/watch?v=nRxFGIoV_Aw,https://r1---sn-ogul7n76.googlevideo.com,74.125.96.198,15169,,,https://r1---sn-npoe7ne7.googlevideo.com,302
tokyo,m,2020-10-24 08:11:48.155416,https://www.youtube.com/watch?v=nRxFGIoV_Aw,https://r1---sn-npoe7ne7.googlevideo.com,173.194.59.6,15169,,0.7081849575042725,,200
tokyo,m,2020-10-24 08:12:12.109285,https://www.youtube.com/watch?v=Q1kJvRhMfrg,https://r5---sn-ogul7nez.googlevideo.com,74.125.102.234,15169,,,https://r5---sn-npoe7nes.googlevideo.com,302
tokyo,m,2020-10-24 08:12:12.259132,https://www.youtube.com/watch?v=Q1kJvRhMfrg,https://r5---sn-npoe7nes.googlevideo.com,74.125.171.74,15169,,1.0738730430603027,,200
tokyo,m,2020-10-24 08:12:28.160377,https://www.youtube.com/watch?v=UoIXfcM5568,https://i.ytimg.com,172.217.175.54,15169,,0.2537209987640381,,200
tokyo,m,2020-10-24 08:12:32.882338,https://www.youtube.com/watch?v=UoIXfcM5568,https://i.ytimg.com,172.217.26.22,15169,,,,200
tokyo,m,2020-10-24 08:12:35.383694,https://www.youtube.com/watch?v=UoIXfcM5568,https://i.ytimg.com,172.217.175.246,15169,,,,200
tokyo,m,2020-10-24 08:12:48.573185,https://www.youtube.com/watch?v=O6N-qYPE6qc,https://i.ytimg.com,172.217.175.54,15169,,0.2620658874511719,,200
tokyo,m,2020-10-24 08:12:48.841236,https://www.youtube.com/watch?v=O6N-qYPE6qc,https://i.ytimg.com,172.217.26.22,15169,,,,200
tokyo,m,2020-10-24 08:12:48.842410,https://www.youtube.com/watch?v=O6N-qYPE6qc,https://i.ytimg.com,172.217.175.246,15169,,,,200
tokyo,m,2020-10-24 08:13:06.050250,https://www.youtube.com/watch?v=XSpURiqvPMs,https://r4---sn-oguesnze.googlevideo.com,74.125.106.138,15169,,0.0432591438293457,,200
tokyo,m,2020-10-24 08:13:19.298319,https://www.youtube.com/watch?v=YTZ-GZPTND8,https://r1---sn-oguelnlz.googlevideo.com,74.125.106.230,15169,,0.015044212341308594,,200
tokyo,m,2020-10-24 08:13:32.731928,https://www.youtube.com/watch?v=6Dh-RL__uN4,https://r1---sn-oguelnl7.googlevideo.com,173.194.49.38,15169,,0.016679048538208008,,200
